Observation Start Date	Observation Start Hour	Observation End Date	Observation End Hour	Approximate Lat	Approximate Lon	Observing Ship/Sensor	Observor(s)	Description	Reported In	Approx Location	Phenomena	Confidence	Area KM2	Event Number
04/08/1935	22:00 LOC	04/09/1935	00:00 LOC	7 deg 00' S	10 deg 00' W	MV Durham	W.J.V. Branch, Third Officer	April 8th 1935 10 to 12 p.m. A.T.S. passed through very extensive and brilliant phosphorescent waters. At first it was noticeable only as the waves broke, but later, large and very intense patches of milky fluid were encountered. As mention in the Marine Observer's Handbook these patches did definitely assert a calming effect upon the sea surface. They could be compared to the effect that would be produced by light oils on the water. It was difficult to estimate the exact size of these patches but they were roughly circular in shape and of about 2 miles in diameter. Between them the water showed only normal phosphorescence. Some of this "milky fluid" caught in a bucket revealed nothing abnormal and it is possible the source of this light may be some distance beneath the surface. The horizon appeared to vanish altogether, being replaced by a broad band of pale light reaching, approximately, 10 deg up from the true horizon. An important feature was the fact that all sense of judging visibility and distances was destroyed. Air temperature 79 deg F. Sea temperature at frequent intervals 81 deg F. Position of ship, Latitude 7 deg S., Longitude 10 deg W.	Mar. Obs. 1936, 04, Vol XIII, no 122	South Atlantic	Milky Sea	0	N/A	78
08/30/1938	20:15 LOC	08/31/1938	00:00 LOC	16 deg 00' N	54 deg 00' E	Hoienfels	(?)	30th Aug., 1938. From 2015 to 2330 local time. The water colour was milky white, changing into a greenish hue. The horizon could not be distinguished, the gleaming of sky and water was alike. It seemed that the ship was surrounded by a thick fog, but there was no mist arond the lamps of the ship. Cloudiness was insignificant, but soon it became continuous. A burning buoy, thrown on the water for the purpose of determining visibiity, disappeared in 20 minutes; this indicated a visibility of seven miles. The wave crests were white. Fish not only did not emit and luminescense, they appeared black. At 2345 it was still impossible to discern the white milky colour at a distance of 1-2 miles, which suggested shallows, the the actual depth ranged from 2400 to 2700 meters. At midnight the water appeared normal and the horizon was visible again. Water temperature 77 deg F; swell considerable; speed 12 kt.; wind velocity 1-3. Posn: 16 deg N, 54 deg E.	E.W. Barlow's Records	Arabian Sea	Milky Sea	0	N/A	79
08/28/1946	20:40 GMT	08/29/1946	01:50 GMT	14 deg 27' N	67 deg 22' E	SS Empire Bounty	G. H. Taylor, Second Officer	28th to 29th August, 1946, 2040 to 0150 G.M.T. it was very dark with sky cloudy to overcast. The horizon from NW through W to South became illuminated as if from the looms of numerous powerful shore lights. After a few minutes a white line appeared on the horizon and spread rapidly until the white water surrounded the ship. The sea was a light grey with considerable luminosity, although not phosphorescent, similar to its appearance during full moon, although the moon, only 3 days old, had already sea. The sea also appeared quite calm and no "white horses" visible, but this was obviously not the true state of affairs as the motion of the vessel and relative wind force was the same as previously, when in a moderate SW'ly swell, light sea, and wind SW force 4-5. The cloud formation disappeared during the first half-hour but made no difference to the appearance of the sea. The first occurrences were observed from 2150 to 2215 G.M.T. and lastly from 2235 G.M.T. on the 28th to 0150 G.M.T. on the 29th. The last two occurrences, however, were not so bright as the first. During the last occurrence there appeared to be a complete formation of altostratus or cirrostratus veiling the whole sky and no stars were visible. Estimation of cloud height was not possible. During the phenomenon the horizon was well-defined, except to the SE, being especially so to the N and NE, where the line of white sea and black cloud showed up well. Estimation of visibility was impossible throughout and could have been anything between 2 and 2 miles. Position of ship: Latitude 14 deg 27' N. to 15 deg 14' N., Longitude 67 deg 22' E. to 66 deg 45' E., Course 320 deg. Speed 12 knots.	Mar. Obs. 1947, 07, Vol XVI, no 137	Arabian Sea	Milky Sea	0	N/A	80
08/12/1947	07:00 GMT	08/12/1947	(?)	0 deg 21' N	91 deg 53' W	MV Port Macquarie	H. J. Thompson, Third Officer	8th December, 1947, 0700 G.M.T. Vessel passed through a band of vivid phosphorescence which gave the water a milky-white appearance. It was approx 100 ft. wide and had sharply defined limits. It ran in a WNW to ESE direction and extended as far as was visible. Moderate SSW breeze and moderate sea. Overcast, fine and clear, dark night. Barometer 1010.2 mb. Position of ship: Latitude 0 deg 21' N., Longitude 91 deg 53' W.  Course 239 deg. Speed 16 knots.	Mar. Obs. 1948, 10, Vol XVIII, no 142	Eastern Pacific 	Milky Sea	0	N/A	81
09/12/1947	04:00 GMT	09/12/1947	05:15 GMT	18 deg 15' N	58 deg 35' E	MV Worcestershire	R. S. Fielder, Senior Third Officer	12th September, 1947, 0400 to 0515 G.M.T. At 0400 sea normal, sky completely covered with stratocumulus at 5,000 ft. approximately. Wind fresh from SW, moderate sea and long heavy SW'ly swell. At 0430 observed a whiteness ahead which at first appeared as a low-lying fog bank. On nearer approach it was seen that the sea itself was quite white and looked like breakers. Soundings were taken but no bottom found at 130 fathoms. Demarcation between normal and white sea was very plain, running NW to SE. Sea temperature before entering this area of whiteness was 76 deg F. At 0450 vessel entered this area, which stretched from horizon to horizon on both sides, and at 0505 the whole visible ocean was white with more of a diffused light than normal phosphorescence. The crests of waves were visible by their blackness against this uniformly lit sea. Two fish showed up as black and left no trail behind as they swam away. Sea temperature was now 77 deg. At 0515 vessel commenced to run out of this area, the line of separation was less pronounced on the SW side. Sea temperature started to fall and by 0700 was 71 deg and remained steady. Course 250 deg. Speed 13 knots. Position of ship: Latitude 18 deg 15'N., Longitude 58 deg 35'E.	Mar. Obs. 1948, 07, Vol XVIII, no 141	Arabian Sea	Milky Sea	0	N/A	82
09/15/1947	20:00 LOC	09/15/1947	22:00 LOC	12 deg 46' N	52 deg 10' E	SS Mahsud	A. P. Briggs, Third Officer	15th Sepetember, 1947, 2000 A.T.S. The sea ahead was observed to be gradually changing to a dull phosphorescent glow. At 2015 A.T.S. the glow was similar in intensity to the luminous dial on a watch, and it streatched N and S as far as the eye could see. At 2100 the sea reached its greatest brilliance, making the horizon appear black compared with the water. Above an angle of 10 deg the stars were easily seen. At 2200 the glow on the sea gave the appearance of shoal water and there was no brilliant phosphorescence sparkle usually seen from the wash of the vessel. Weather conditions: Temperature air 76 deg F., sea 73 deg. Wind S'ly, force 4. Sky cloudless. Course: 090 deg. Speed 11 knots. Position of ship: Latitude 12 deg 46' N., Longitude 52 deg 10' E.	Mar. Obs. 1948, 07, Vol XVIII, no 141	Arabian Sea	Milky Sea	0	N/A	83
10/16/1947	22:30 GMT	10/16/1947	22:40 GMT	14 deg 53' N	17 deg 38' W	MV Roslin Castle	R. H. Hudson, Third Officer	16th October, 1947, 2230 G.M.T. Encountered a large area of abnormal phosphorescence, giving the sea an appearance of being almost white. It lasted about 10 minutes, during which time the vessel covered approximately 2 1/2 miles. Position of ship: Latitude 14 deg 53' N., Longitude 17 deg 38' W. Course 000 deg. Speed 16.5 knots.	Mar. Obs. 1948, 10, Vol XVIII, no 142	West Africa	Milky Sea	0	N/A	84
08/11/1948	05:00 GMT	08/11/1948	(?)	1 deg 25' N	9 deg 40' W	MV Port Hobart	A. J. Barund, Second Officer	8th November, 1948, 0500 G.M.T. About an hour before daylight visibility became greatly reduced by rain showers drifting down from head, owing to the ship's speed being greater than the wind, SSE, 2, from astern. At about 0500 the shower lifed and revealed a river of phosphorescence about 100 yards wide and stretching from horizon to horizon in an almost perfectly straight line E to W. Prior to this considerable streaks of phosphorescence had been seen, mostly from N to S, but none immediately before this observation. Course 323 deg (T). Approximate position of Ship: Latitude 1 deg 25'N., Longitude 9 deg 40'W.	Mar. Obs. 1949, 10, Vol XIX, no 146	West Africa	(?)	1	N/A	85
01/20/1949	19:00 GMT	01/20/1949	19:30 GMT	22 deg 23' N	64 deg 40' E	MV Repton	G. R. Watts, Third Officer	20th January, 1949, 1900-1930 G.M.T. Vessel passed through a belt of brilliant phosphorescence extending 4 1/2 miles. The night was dark and the phosphorescence was a dense mass of uniform radiance which cast a bright reflection in the sky resembling a large patch of very low mist or a field of ice. Wind WSW, 2, slight sea and swell, cloudless sky, visibility very good. Course 115 deg, speed 9.3 knots. Position of ship: Latitude 22 deg 23' N., Longitude 64 deg 40' E.	Mar. Obs. 1950, 01, Vol XX, no 147	Arabian Sea	Milky Sea	0	N/A	86
01/25/1949	15:00 GMT	01/26/1949	(?)	17 deg 36' N	62 deg 01' E	SS Lassell	S. Dickinson, Chief Officer	25th January, 1949, 1500 G.M.T. Observed a glow in the sky which at first was thought to be aurora. As it became brighter it was definitely seen to be reflection from the sea. At 1925 the vessel steamed into phosphorescence which at one time appeared to stretch to the horizon on all sides. Throughout the night, and also on the next night, the ship steamed across patches of varying brilliancy. The largest area took about six hours to traverse. Position of Ship: Latitude 17 deg 36' N., Longitude 62 deg 01'E.	Mar. Obs. 1950, 01, Vol XX, no 147	Arabian Sea	Milky Sea	0	N/A	87
08/16/1949	16:50 GMT	08/16/1949	17:36 GMT	12 deg 33' N	57 deg 27' E	SS Matheran	R. M. Lucas, Third Officer	16th August,, 1949, 1650 G.M.T. The vessel crosses a definite dividing line and entered an area of phosphorescence. The affected sector was from horizon to horizon in a N-S direction, and gave the sea a "milky" appearance to such an extent that the ship's wash was hardly discernible from the bridge. A similar line of demarcation was observed on the east side of the area, which was crossed at 1736 in lat. 12 deg 29' N., long. 57 deg 39' E. The sky was cloudless, corrected barometer 1006.4 mb., wind SSW, 6. Temperatures: air 77 deg F., wet bulb 74 deg, sea 76 deg. Position of ship 12 deg 33'N., Longitude 57 deg 27' E.	Mar. Obs. 1950, 07, Vol XX, no 149	Arabian Sea	Milky Sea	0	N/A	88
08/16/1949	16:15 GMT	08/16/1949	(?)	12 deg 20' N	57 deg 30' E	SS Atlantis	R. Phillips, Senior Third Officer	16th August, 1949, 1615 G.M.T. Vessel passed through an area of uniform luminosity approximately 1 mile wide. Position of ship: Latitude 12 deg 20'N., Longitude 57 deg 30'E.	Mar. Obs. 1950, 07, Vol XX, no 149	Arabian Sea	Milky Sea	0	N/A	88
08/24/1949	22:00 LOC	08/24/1949	04:00 LOC	11 deg 20' N	52 deg 32' E	SS Sofia	(?)	[There is a note saying this is from US. Hyd. Bull. 3151.] On August 24, 1949, at 2200 ship's time, in approximately lat. 11 deg 20' N., lon. 52 deg 32' E., while en route from Vizagapatam to Baltimore, discolored water was observed. All around as far as could be seen the was was all white appearing like a snow or ice field, giving off an intense white light or glow. This white cover seemed to be about 2 feet deep. Before the discoloured water was entered the atch officer could easily see its edges which were sharply defined. This discolored water remained visible all night, until 0500 ship's time (gradually diminishing after 0400), on August 25, 1949, in approximately lat. 11 deg 57' N., lon 51 deg 28' E., and was observed by both officers and crew. No one on board had ever seen anything like it before. A sample of water taken and in the bucket small thin white threads, 1 inch long and smalled, could be seen distinctly, but as soon as the light was put on they became invisible. Ordinary phosphorescence was also observed which was altogether different from the white threads which gave off a continuous white light or glow. On the surface a great many black round spots or stains about 4 to 6 inches in diameter were observed. When viewed from the ship's bow it was just like ploughing through an ice or snow field about 2 feet thick. The night was clear (without the moon); wind SW., force 5-4; sea SW., amount 4-3; temperature of air, 74 deg F.; barometer, 29.82 inches. The temperature fell suddenly when this white water was [missing text.] (H1-15(2).)	E.W. Barlow's Records	Somalia	Milky Sea	0	N/A	88
